,threshold,infected_agents
0,0.125,113
1,0.125,147
2,0.125,174
3,0.125,192
4,0.125,205
5,0.125,214
6,0.125,218
7,0.125,226
8,0.125,234
9,0.125,241
10,0.125,243
11,0.125,245
12,0.125,247
13,0.125,247
14,0.125,168
15,0.125,162
16,0.125,159
17,0.125,165
18,0.125,176
19,0.125,187
20,0.125,202
21,0.125,210
22,0.125,210
23,0.125,216
24,0.125,222
25,0.125,230
26,0.125,232
27,0.125,235
28,0.125,213
29,0.125,197
30,0.125,192
31,0.125,188
32,0.125,184
33,0.125,182
34,0.125,187
35,0.125,186
36,0.125,194
37,0.125,194
38,0.125,201
39,0.125,200
40,0.125,213
41,0.125,223
42,0.125,222
43,0.125,219
44,0.125,207
45,0.125,203
46,0.125,191
47,0.125,190
48,0.125,178
49,0.125,180
50,0.125,186
51,0.125,186
52,0.125,187
53,0.125,192
54,0.125,189
55,0.125,190
56,0.125,191
57,0.125,203
58,0.125,208
59,0.125,202
60,0.125,206
61,0.125,200
62,0.125,196
63,0.125,193
64,0.125,192
65,0.125,195
66,0.125,198
67,0.125,198
68,0.125,201
69,0.125,202
70,0.125,205
71,0.125,194
72,0.125,198
73,0.125,203
74,0.125,209
75,0.125,210
76,0.125,212
77,0.125,210
78,0.125,204
79,0.125,205
80,0.125,201
81,0.125,197
82,0.125,191
83,0.125,188
84,0.125,187
85,0.125,187
86,0.125,185
87,0.125,187
88,0.125,187
89,0.125,194
90,0.125,204
91,0.125,204
92,0.125,201
93,0.125,192
94,0.125,190
95,0.125,187
96,0.125,192
97,0.125,191
98,0.125,190
99,0.125,191
100,0.125,191
101,0.125,187
102,0.125,188
103,0.125,184
104,0.125,186
105,0.125,196
106,0.125,201
107,0.125,208
108,0.125,203
109,0.125,208
110,0.125,200
111,0.125,202
112,0.125,204
113,0.125,208
114,0.125,204
115,0.125,204
116,0.125,202
117,0.125,208
118,0.125,200
119,0.125,194
120,0.125,191
121,0.125,195
122,0.125,202
123,0.125,202
124,0.125,204
125,0.125,207
126,0.125,206
127,0.125,201
128,0.125,205
129,0.125,209
130,0.125,197
131,0.125,195
132,0.125,200
133,0.125,201
134,0.125,201
135,0.125,193
136,0.125,190
137,0.125,194
138,0.125,199
139,0.125,196
140,0.125,193
141,0.125,196
142,0.125,201
143,0.125,200
144,0.125,209
145,0.125,204
146,0.125,199
147,0.125,194
148,0.125,192
149,0.125,202
150,0.125,202
151,0.125,113
152,0.125,147
153,0.125,174
154,0.125,192
155,0.125,205
156,0.125,214
157,0.125,218
158,0.125,226
159,0.125,234
160,0.125,241
161,0.125,243
162,0.125,245
163,0.125,247
164,0.125,247
165,0.125,168
166,0.125,162
167,0.125,159
168,0.125,165
169,0.125,176
170,0.125,187
171,0.125,202
172,0.125,210
173,0.125,210
174,0.125,216
175,0.125,222
176,0.125,230
177,0.125,232
178,0.125,235
179,0.125,213
180,0.125,197
181,0.125,192
182,0.125,188
183,0.125,184
184,0.125,182
185,0.125,187
186,0.125,186
187,0.125,194
188,0.125,194
189,0.125,201
190,0.125,200
191,0.125,213
192,0.125,223
